Song Name,Genre,Tempo,Beats,Chroma_stft,RSME,Spec_Cent,Spec_BW,Rolloff,ZCR,MFCC
Gunna - DOLLAZ ON MY HEAD (feat. Young Thug) [Official Audio],hiphop_rap,143.5546875,70,0.41788962,0.21621104,1623.7409331087133,2265.132158816247,3611.369829207382,0.04614371190499226,0.26453176
21 Savage - a lot ft. J. Cole,hiphop_rap,143.5546875,72,0.44724664,0.19714034,1765.5618859797312,2239.2295849208026,3975.550960387239,0.04583796923374613,2.5035884
Will Smith - Gettin_ Jiggy Wit It (Official Video),hiphop_rap,107.666015625,53,0.46655193,0.051073104,2694.9211538626623,2609.4732283765397,5662.957423537878,0.12389494243421052,-2.3357637
Post Malone - Goodbyes ft. Young Thug (Rated R),hiphop_rap,143.5546875,43,0.39333436,0.07532084,1334.9511100364912,1567.115954328435,2467.660078397107,0.06035073106133901,-2.9559467
TROLLZ - 6ix9ine _ Nicki Minaj(Official Music Video),hiphop_rap,89.10290948275862,42,0.5280018,0.21728492,2517.5478113782183,2816.5006059325906,5916.014226671343,0.07537029254547213,2.099269
"THE SCOTTS, Travis Scott, Kid Cudi - THE SCOTTS (Audio)",hiphop_rap,129.19921875,64,0.35770753,0.123171546,1728.4312668922387,1645.703298026633,3304.3466857343265,0.09061434246807276,-3.8342586
Diana Ross - Chain Reaction,hiphop_rap,129.19921875,63,0.4869786,0.12581147,2597.3461469584595,2600.0029927497258,5533.099875435371,0.10589694091041021,2.5547752
Lil Baby - Sum 2 Prove (Official Video),hiphop_rap,123.046875,60,0.4667565,0.24485028,1491.0795601027955,1874.0078228990894,3143.0726609362905,0.04832775009674923,-0.6948014
NLE Choppa - Walk Em Down feat. Roddy Ricch (Official Music Video),hiphop_rap,83.35433467741936,39,0.34765658,0.1913954,1863.4732525536174,2176.9698150498093,3888.0431562016256,0.06643421657314241,-3.155223
Juice WRLD - Lucid Dreams (Dir. by ColeBennett),hiphop_rap,112.34714673913044,54,0.35030457,0.12313263,1671.7114052913353,1900.0461501598454,3473.7623279677823,0.06709256482198142,-4.5641375
Post Malone - Better Now,hiphop_rap,143.5546875,68,0.36667323,0.21743137,2090.3333604519576,2060.22123521292,3996.592499818595,0.10942148497968267,-2.3789678
One Dance-Drake (feat. Wizkid _ Kyla),hiphop_rap,135.99917763157896,69,0.41697067,0.2542506,2061.1493903869223,2424.4548734554996,4539.2975514887285,0.06584956402380031,1.7743391
Lil Baby - The Bigger Picture (Official Music Video),hiphop_rap,135.99917763157896,66,0.29615843,0.0740442,1576.7366808329923,1546.8566162943414,2767.6249312173472,0.09025039909055728,-9.656578
Adrian Bagher _quotIf You Want To Leave Me_quot,blues,107.666015625,52,0.33465174,0.046909593,2965.714145041176,2794.7818321702,6180.479294153928,0.13694399429179566,-15.064926
Beth Hart _ Joe Bonamassa - Joy (Official Studio Video),blues,73.828125,35,0.33945054,0.107546404,1618.3748841832482,1860.2448549294554,3400.0544403359618,0.05435227904895511,-4.556359
Stand Up In It - Theodis Ealey,blues,112.34714673913044,55,0.3905501,0.24286918,2221.134750178809,2441.9094995460846,4782.046083621565,0.09041366340944272,3.4567118
吾妻光良The Swinging Boppers 最後まで楽しもう,blues,99.38401442307692,50,0.3343476,0.18111351,2056.1518754141357,2305.3846695779566,4346.598716712219,0.0901332418246904,-1.8352486
You Can_t Always Get What You Want,blues,129.19921875,62,0.26055357,0.07144722,1030.0402600600326,1089.2869871647185,1792.9058252104296,0.06642968145317338,-8.537601
Little Walter-Sad Hours,blues,89.10290948275862,44,0.28375822,0.12629265,1572.0622999769298,2112.55615574484,3455.645770849458,0.05180202991969814,-2.101878
Hell Bound For Heaven,blues,143.5546875,72,0.27525827,0.16051959,1469.0037994418035,1993.5295095539816,3038.7649583373645,0.054253640189628485,-2.7139428
Going up the Country - Canned Heat WOODSTOCK _69,blues,143.5546875,64,0.38671687,0.021855311,2590.525449593714,2326.4746110197157,5243.501626596362,0.14433926325464397,-16.206676
John Lee Hooker - Boom Boom,blues,161.4990234375,80,0.33273256,0.10744842,1653.2790002105173,1869.220727186272,3331.9381855589686,0.0764530524380805,-4.2025676
Peter Gabriel Big Time,blues,117.45383522727273,46,0.46598005,0.059584793,3157.8420535061364,2522.8013710427063,6073.871605462703,0.22086676724554954,-7.8922157
Chale Chalo,blues,95.703125,47,0.42528838,0.052275047,3028.9558802472725,3116.841882368813,7125.265247829189,0.11542598381869196,-2.9393628
The Teskey Brothers - Hold Me (Official Video),blues,143.5546875,60,0.43991736,0.09080815,2111.4912005046385,2373.749229380008,4506.364417297552,0.08271114006869196,-5.062486
Sunday Morning Blues Ivas John,blues,117.45383522727273,59,0.2733475,0.04378163,873.4489049863605,1333.43717925839,1455.5828649562209,0.039250329552051086,-11.035827
Beth _ Joe - I_d Rather Go Blind - Live in Amsterdam,blues,103.359375,48,0.35604134,0.04910882,2160.589976931305,2358.8700113619816,4747.387959861165,0.09130179107004643,-5.0419517
B.B. King - Blues Boys Tune (From B.B. King - Live at Montreux 1993),blues,112.34714673913044,50,0.32115638,0.14283542,1982.4404019067358,2143.3721720839776,4084.8502994690884,0.08981918476683437,2.125907
Stormy Weather (Keeps Rainin_ All The Time) - Etta James (1961),blues,172.265625,87,0.27202475,0.11412732,2354.3380034734682,2363.4176313300522,4698.571588380418,0.11761795847039473,-3.069815
Jimi Hendrix - Born Under A Bad Sign - Blues Guitar Cover,blues,78.30255681818181,24,0.3033085,0.1612699,1426.097199131818,1655.0281216547105,2999.75686088066,0.05910924196981424,-1.8954567
The Teskey Brothers - Rain A COLORS SHOW,blues,135.99917763157896,65,0.27003404,0.05521049,1416.6221789918827,1676.0936158881277,2661.7005717274574,0.060730925285410214,-11.443882
"Eminem - Get You Mad (feat. Sway, King Tech _ DJ Revolution)",blues,92.28515625,44,0.46481863,0.13217723,2759.335310786046,2499.178169092326,5351.867637988584,0.11798681489454334,0.553564
GNUF Sessions 2015Dead Mans Uke,blues,86.1328125,31,0.28587267,0.14999826,1056.7681290480452,1430.6509374822895,2084.004064979199,0.038117305413119196,-4.989111
Howlin_ Wolf - Smokestack Lightnin_,blues,143.5546875,70,0.3602519,0.07165293,1616.7892025107583,1821.847353151009,3085.356343272301,0.08130600873161764,-4.7103763
D FINE US - HOWLING AT THE MOONTOMER KATZ ft. VIGZ,blues,69.83741554054055,25,0.32302752,0.10985654,1922.0112747873904,1955.2754720937476,3800.5020188842395,0.0912828947368421,-7.551647
Johnnie Taylor - Everything_s Out In The Open (Lyric Video),blues,151.99908088235293,74,0.34025922,0.032315176,1903.4318724725372,2090.335943151701,3979.0926056380613,0.08508074025251548,-8.599384
